city,city_id,lat,lon,icao,iata,name
London,2643743,51.5053,0.055277,EGLC,LCY,"London, London City"
London,2643743,51.553,-0.418166,EGWU,NHT,"London, RAF Northolt"
London,2643743,51.3308,0.032499,EGKB,BQH,"London, London Biggin Hill"
London,2643743,51.4706,-0.461941,EGLL,LHR,"London, London Heathrow"
London,2643743,51.2136,-0.138611,EGKR,KRH,"Redhill, Redhill Aerodrome"
London,2643743,51.1481,-0.190277,EGKK,LGW,"London, London Gatwick"
London,2643743,51.8747,-0.368333,EGGW,LTN,"London, London Luton"
London,2643743,51.3519,0.503332,EGTO,RCS,Rochester
London,2643743,51.6117,-0.808332,EGTB,HYC,"High Wycombe, Wycombe Air Park"
London,2643743,51.885,0.234999,EGSS,STN,"London, London Stansted"
Berlin,2950159,52.5597,13.287699,EDDT,TXL,"Berlin, Berlin-Tegel"
Berlin,2950159,52.35139,13.493889,EDDB,BER,"Berlin, Berlin Brandenburg"
Berlin,2950159,52.20361,13.156389,EDAZ,QXH,"Trebbin, Schönhagen"
Madrid,3117735,40.3707,-3.78514,LECU,ECV,"Madrid, Cuatro Vientos"
Madrid,3117735,40.4936,-3.56676,LEMD,MAD,"Madrid, Adolfo Suárez Madrid–Barajas"
Madrid,3117735,40.4967,-3.445869,LETO,TOJ,"Madrid, Torrejón"
Paris,2988507,48.7744,2.201539,LFPV,VIY,"Villacoublay/Vélizy, Villacoublay-Vélizy (BA 107) Air Base"
Paris,2988507,48.7253,2.35944,LFPO,ORY,"Paris, Paris-Orly"
Paris,2988507,48.9694,2.44139,LFPB,LBG,"Paris, Paris-Le Bourget"
Paris,2988507,48.7519,2.106189,LFPN,TNF,Toussus-le-Noble
Paris,2988507,49.0128,2.549999,LFPG,CDG,"Paris, Charles de Gaulle"
Paris,2988507,49.0966,2.040829,LFPT,POX,"Pontoise, Pontoise - Cormeilles-en-Vexin"
Paris,2988507,49.2535,2.51914,LFPC,CSF,"Creil, Creil Air Base"
Bucharest,683506,44.5032,26.1021,LRBS,BBU,"Bucharest, Băneasa"
Bucharest,683506,44.5722,26.1022,LROP,OTP,"Bucharest, Henri Coandă"
Budapest,3054643,47.4369,19.255598,LHBP,BUD,"Budapest, Budapest Ferenc Liszt"
Hamburg,2911298,53.6304,9.988229,EDDH,HAM,Hamburg
Hamburg,2911298,53.53528,9.835556,EDHI,XFW,"Hamburg, Hamburg-Finkenwerder"
Warsaw,756135,52.1657,20.9671,EPWA,WAW,"Warsaw, Warsaw Chopin"
Warsaw,756135,52.4511,20.6518,EPMO,WMI,"Warsaw, Modlin"
Vienna,2761369,48.1103,16.5697,LOWW,VIE,"Vienna, Schwechat"
Barcelona,3128760,41.2971,2.078459,LEBL,BCN,Barcelona
Barcelona,3128760,41.5209,2.105079,LELL,QSA,Sabadell
Stockholm,2673730,59.3544,17.941698,ESSB,BMA,"Stockholm, Stockholm-Bromma"
Stockholm,2673730,59.6519,17.9186,ESSA,ARN,"Stockholm, Stockholm-Arlanda"
Belgrade,792680,44.8184,20.3091,LYBE,BEG,"Belgrade, Belgrade Nikola Tesla"
Belgrade,792680,44.9,20.641,LYPA,QBG,"Pančevo, Pančevo Airfield"
Belgrade,792680,44.9353,20.2575,LYBT,BJY,"Batajnica, Batajnica Air Base"
Munich,2867714,48.0814,11.2831,EDMO,OBF,Oberpfaffenhofen
Munich,2867714,48.205555,11.266943,ETSF,FEL,Fürstenfeldbruck
Munich,2867714,48.3538,11.7861,EDDM,MUC,Munich
Rome,3169070,41.7994,12.5949,LIRA,CIA,"Roma, Ciampino–G. B. Pastine"
Rome,3169070,41.8045,12.2508,LIRF,FCO,"Rome, Leonardo da Vinci–Fiumicino"
Porto,2735943,41.2481,-8.681389,LPPR,OPO,"Porto, Francisco de Sá Carneiro"
